"City","City"
"Country","Country"
"Coupon Code","Coupon Code"
"Custom Position","Custom Position"
"Display City Field","Display City Field"
"Display Country Dropdown","Display Country Dropdown"
"Display Coupon Code Field","Display Coupon Code Field"
"Display In","Display In"
"Display Include Cart Items Field","Display Include Cart Items Field"
"Display Region Field","Display Region Field"
"Display Zip/Postal Code Field","Display Zip/Postal Code Field"
"Enable Product Page Shipping","Enable Product Page Shipping"
"Enter your destination to get a shipping estimate.","Enter your destination to get a shipping estimate."
"Estimate Shipping","Estimate Shipping"
"Get a Quote","Get a Quote"
"Incl. Tax","Incl. Tax"
"Include Cart Items","Include Cart Items"
"Include Cart Items by Default","Include Cart Items by Default"
"Left Column","Left Column"
"Loading rates...","Loading rates..."
"No","No"
"Please select an option","Please select an option"
"Please specify a country","Please specify a country"
"Please specify a valid product","Please specify a valid product"
"Position of the block depends on your theme layout","Position of the block depends on your theme layout"
"Product Page Shipping","Product Page Shipping"
"Product Page Shipping Settings","Product Page Shipping Settings"
"Right Column","Right Column"
"Shipping Rates","Shipping Rates"
"State/Province","State/Province"
"There was an error during processing your shipping request","There was an error during processing your shipping request"
"Yes","Yes"
"Zip/Postal Code","Zip/Postal Code"
